,triage_type,duration,env_LV INT-Plaform,env_LV-QA,env_LV-REG,browser_chrome,error_type_code error,error_type_element not found,error_type_execution environment issue,error_type_network issue,error_type_other,error_type_suspect bug
6,Data Issue,0.22822580645161292,0,1,0,1,0,1,0,0,0,0
7,Other,0.997229916897507,0,1,0,1,0,1,0,0,0,0
8,Other,0.997229916897507,0,1,0,1,0,1,0,0,0,0
9,Other,0.9975903614457832,0,1,0,1,0,1,0,0,0,0
10,Other,0.9946236559139785,0,1,0,1,0,0,0,0,0,1
11,Other,0.9980879541108987,0,1,0,1,0,1,0,0,0,0
12,Other,0.9980879541108987,0,1,0,1,0,0,0,0,0,1
13,Other,0.9947643979057592,0,1,0,1,0,1,0,0,0,0
14,Other,0.9953271028037384,0,1,0,1,0,1,0,0,0,0
15,Other,0.9972826086956522,0,1,0,1,0,0,0,0,0,1
19,Product Error,-2.098314606741573,0,1,0,1,0,0,0,0,0,1
20,Data Issue,-0.42272727272727273,0,1,0,1,0,0,0,0,0,1
115,Product Error,-0.4993983152827918,0,0,1,1,0,0,0,0,0,1
116,Product Error,-0.3758620689655172,0,0,1,1,0,0,0,0,0,1
117,Product Error,-2.1514285714285712,0,0,1,1,0,0,0,0,0,1
197,Product Error,-0.43577981651376146,0,0,1,1,0,1,0,0,0,0
198,Product Error,0.17293233082706766,0,0,1,1,0,1,0,0,0,0
199,Not in Branch,0.5425531914893617,0,0,1,1,0,1,0,0,0,0
247,Product Error,0.41363636363636364,0,0,1,1,0,1,0,0,0,0
248,Dynamic Issue,0.14661949685534592,0,0,1,1,0,1,0,0,0,0
265,Dynamic Issue,-0.05944055944055944,0,0,1,1,0,1,0,0,0,0
266,Dynamic Issue,-0.05944055944055944,0,0,1,1,0,1,0,0,0,0
267,Dynamic Issue,-0.05944055944055944,0,0,1,1,0,1,0,0,0,0
268,Dynamic Issue,0.36929460580912865,0,0,1,1,0,1,0,0,0,0
269,Product Error,0.21341463414634146,0,0,1,1,0,1,0,0,0,0
270,Product Error,0.5416436845008273,0,0,1,1,0,1,0,0,0,0
271,Product Error,0.5416436845008273,0,0,1,1,0,1,0,0,0,0
272,Product Error,0.5416436845008273,0,0,1,1,0,0,0,0,1,0
273,Product Error,0.6629107981220658,0,0,1,1,0,1,0,0,0,0
274,Product Error,0.6629107981220658,0,0,1,1,0,1,0,0,0,0
275,Product Error,0.6629107981220658,0,0,1,1,0,1,0,0,0,0
276,Product Error,0.6629107981220658,0,0,1,1,0,1,0,0,0,0
277,Product Error,0.8586956521739131,0,0,1,1,0,1,0,0,0,0
278,Product Error,0.8586956521739131,0,0,1,1,0,0,0,0,0,1
323,Environment Error,0.17886178861788618,0,0,1,1,0,1,0,0,0,0
324,Environment Error,0.5,0,0,1,1,0,1,0,0,0,0
325,Dynamic Issue,-0.0345821325648415,0,0,1,1,0,1,0,0,0,0
326,Dynamic Issue,-0.0345821325648415,0,0,1,1,0,1,0,0,0,0
327,Dynamic Issue,-0.0345821325648415,0,0,1,1,0,1,0,0,0,0
328,Dynamic Issue,0.06866952789699571,0,0,1,1,0,0,0,0,0,1
329,Dynamic Issue,0.056074766355140186,0,0,1,1,0,1,0,0,0,0
405,Environment Error,0.44871794871794873,0,0,1,1,0,1,0,0,0,0
406,Product Error,0.10691421254801536,0,0,1,1,0,1,0,0,0,0
407,Product Error,0.10691421254801536,0,0,1,1,0,1,0,0,0,0
408,Product Error,0.10691421254801536,0,0,1,1,0,1,0,0,0,0
409,Product Error,0.10691421254801536,0,0,1,1,0,1,0,0,0,0
410,Product Error,0.3244567865,0,0,1,1,0,1,0,0,0,0
411,Dynamic Issue,-0.16181229773462782,0,0,1,1,0,1,0,0,0,0
412,Dynamic Issue,-0.16181229773462782,0,0,1,1,0,1,0,0,0,0
413,Dynamic Issue,-0.16181229773462782,0,0,1,1,0,1,0,0,0,0
414,Dynamic Issue,-0.13020833333333334,0,0,1,1,0,0,0,0,0,1
484,Not Ready,0.3761904761904762,0,0,1,1,0,1,0,0,0,0
485,Not Ready,0.5040322580645161,0,0,1,1,0,1,0,0,0,0
486,Not Ready,0.4166666666666667,0,0,1,1,0,1,0,0,0,0
487,Not Ready,0.297029702970297,0,0,1,1,0,1,0,0,0,0
488,Product Error,-0.08857395925597875,0,0,1,1,0,0,0,0,0,1
489,Product Error,-0.08857395925597875,0,0,1,1,0,0,0,0,0,1
490,Product Error,-0.05776892430278884,0,0,1,1,0,0,0,0,0,1
491,Product Error,-0.05776892430278884,0,0,1,1,0,0,0,0,0,1
492,Product Error,0.09852216748768473,0,0,1,1,0,0,0,0,0,1
493,Product Error,-0.010810810810810811,0,0,1,1,0,0,0,0,0,1
494,Product Error,0.13856812933025403,0,0,1,1,0,0,0,0,0,1
495,Product Error,-0.040106951871657755,0,0,1,1,0,0,0,0,0,1
496,Product Error,-0.15952890792291222,0,0,1,1,0,1,0,0,0,0
497,Environment Error,0.42410714285714285,0,0,1,1,0,1,0,0,0,0
551,,0.9949748743718593,0,1,0,1,0,0,0,0,0,1
599,Product Error,0.1800595238095238,0,0,1,1,0,1,0,0,0,0
604,Product Error,0.1082529474812433,0,0,1,1,0,1,0,0,0,0
605,Product Error,-0.10773026315789473,0,0,1,1,0,1,0,0,0,0
606,Product Error,-0.28615702479338845,0,0,1,1,0,1,0,0,0,0
607,Product Error,-0.23348519362186787,0,0,1,1,0,1,0,0,0,0
608,Environment Error,0.38571428571428573,0,0,1,1,0,1,0,0,0,0
713,Product Error,0.11864406779661017,0,0,1,1,0,1,0,0,0,0
714,Product Error,-0.06566455696202532,0,0,1,1,0,1,0,0,0,0
715,Product Error,-0.26782077393075354,0,0,1,1,0,1,0,0,0,0
716,Product Error,-0.1901098901098901,0,0,1,1,0,1,0,0,0,0
717,Environment Error,0.5612244897959183,0,0,1,1,0,1,0,0,0,0
730,Product Change,0.018138801261829655,0,0,1,1,0,1,0,0,0,0
731,Product Error,-0.1875,0,0,1,1,0,1,0,0,0,0
732,Dynamic Issue,0.5257352941176471,0,0,1,1,0,1,0,0,0,0
854,Dynamic Issue,0.7185539782106306,0,0,1,1,0,0,0,0,1,0
855,Dynamic Issue,0.7185539782106306,0,0,1,1,0,0,0,0,1,0
856,Dynamic Issue,0.5135135135135135,0,0,1,1,0,0,0,0,1,0
857,Product Change,0.015463917525773196,0,0,1,1,0,0,0,0,1,0
858,Not Ready,-0.574468085106383,0,0,1,1,1,0,0,0,0,0
859,Not Ready,0.052083333333333336,0,0,1,1,0,0,1,0,0,0
860,Not Ready,-0.48412698412698413,0,0,1,1,0,0,1,0,0,0
861,Product Error,-0.07654075546719682,0,0,1,1,0,1,0,0,0,0
862,Not Ready,0.3788167938931298,0,0,1,1,0,1,0,0,0,0
863,Not Ready,0.3788167938931298,0,0,1,1,0,1,0,0,0,0
864,Not Ready,0.3788167938931298,0,0,1,1,0,1,0,0,0,0
865,Not Ready,0.3788167938931298,0,0,1,1,0,1,0,0,0,0
866,Not Ready,0.3788167938931298,0,0,1,1,0,1,0,0,0,0
867,Not Ready,0.3788167938931298,0,0,1,1,0,1,0,0,0,0
868,Not Ready,0.3788167938931298,0,0,1,1,0,1,0,0,0,0
869,Not Ready,-0.09846547314578005,0,0,1,1,0,1,0,0,0,0
870,Not Ready,-0.09846547314578005,0,0,1,1,0,1,0,0,0,0
871,Not Ready,-0.09846547314578005,0,0,1,1,0,1,0,0,0,0
980,Environment Error,0.3010471204188482,0,0,1,1,0,1,0,0,0,0
981,Environment Error,0.7173408488063661,0,0,1,1,0,0,0,0,1,0
982,Environment Error,0.7173408488063661,0,0,1,1,0,0,0,0,1,0
983,Environment Error,0.5566502463054187,0,0,1,1,0,0,0,0,1,0
984,Product Error,-0.11880165289256199,0,0,1,1,0,1,0,0,0,0
985,Product Error,-1.4731543624161074,0,0,1,1,0,1,0,0,0,0
986,Other,0.07774001699235344,0,0,1,1,0,0,0,0,0,1
987,Other,0.07659574468085106,0,0,1,1,0,1,0,0,0,0
988,Other,0.07659574468085106,0,0,1,1,0,1,0,0,0,0
989,Other,0.07659574468085106,0,0,1,1,0,1,0,0,0,0
990,Other,0.07659574468085106,0,0,1,1,0,1,0,0,0,0
991,Other,0.07659574468085106,0,0,1,1,0,1,0,0,0,0
992,Other,0.07659574468085106,0,0,1,1,0,1,0,0,0,0
993,Other,0.07659574468085106,0,0,1,1,0,1,0,0,0,0
994,Other,-0.24492753623188407,0,0,1,1,0,1,0,0,0,0
995,Other,-0.24492753623188407,0,0,1,1,0,1,0,0,0,0
996,Other,-0.24492753623188407,0,0,1,1,0,1,0,0,0,0
997,Product Change,-0.026525198938992044,0,0,1,1,0,0,0,0,0,1
1009,Data Issue,0.16712328767123288,0,1,0,1,0,1,0,0,0,0
1010,Data Issue,0.16712328767123288,0,1,0,1,0,1,0,0,0,0
1011,Not in Branch,0.9977678571428571,0,1,0,1,0,1,0,0,0,0
1012,Not in Branch,0.9977678571428571,0,1,0,1,0,1,0,0,0,0
1013,Not in Branch,0.9977678571428571,0,1,0,1,0,1,0,0,0,0
1014,Not in Branch,0.9956896551724138,0,1,0,1,0,1,0,0,0,0
1015,Not in Branch,0.9956896551724138,0,1,0,1,0,1,0,0,0,0
1016,Not in Branch,0.994413407821229,0,1,0,1,0,1,0,0,0,0
1017,Dynamic Issue,-9.81578947368421,0,1,0,1,0,0,0,0,1,0
1018,Dynamic Issue,-9.81578947368421,0,1,0,1,0,0,0,0,1,0
1019,Dynamic Issue,-9.81578947368421,0,1,0,1,0,0,0,0,1,0
1020,Environment Error,-0.7130434782608696,0,1,0,1,0,1,0,0,0,0
1021,Environment Error,-0.7130434782608696,0,1,0,1,0,0,0,0,0,1
1022,Environment Error,-1.7701149425287357,0,1,0,1,0,1,0,0,0,0
1023,Dynamic Issue,-0.43089430894308944,0,1,0,1,0,1,0,0,0,0
1024,Dynamic Issue,-0.43089430894308944,0,1,0,1,0,1,0,0,0,0
1025,Dynamic Issue,-0.43089430894308944,0,1,0,1,0,1,0,0,0,0
1026,Environment Error,-0.0802675585284281,0,1,0,1,0,1,0,0,0,0
1027,Environment Error,-0.0802675585284281,0,1,0,1,0,0,1,0,0,0
1028,Not in Branch,0.99644128113879,0,1,0,1,0,1,0,0,0,0
1029,Data Issue,0.20164348925410872,0,1,0,1,0,1,0,0,0,0
1030,Data Issue,0.20164348925410872,0,1,0,1,0,1,0,0,0,0
1031,Data Issue,0.20164348925410872,0,1,0,1,0,1,0,0,0,0
1032,Data Issue,0.16195856873822975,0,1,0,1,0,1,0,0,0,0
1033,Data Issue,0.16195856873822975,0,1,0,1,0,1,0,0,0,0
1034,Data Issue,0.23443223443223443,0,1,0,1,0,1,0,0,0,0
1035,Product Error,0.1282051282051282,0,1,0,1,0,0,0,0,0,1
1036,Environment Error,-0.029589371980676328,0,1,0,1,0,0,0,0,0,1
1037,Environment Error,-0.029589371980676328,0,1,0,1,0,0,0,0,0,1
1038,Environment Error,-0.029589371980676328,0,1,0,1,0,0,0,0,0,1
1039,Environment Error,-11.894396551724139,0,1,0,1,0,0,1,0,0,0
1040,Environment Error,-11.894396551724139,0,1,0,1,0,0,1,0,0,0
1041,Environment Error,-11.894396551724139,0,1,0,1,0,0,1,0,0,0
1042,Environment Error,-11.894396551724139,0,1,0,1,0,0,1,0,0,0
1043,Environment Error,-8.890196078431373,0,1,0,1,0,0,1,0,0,0
1044,Environment Error,-8.890196078431373,0,1,0,1,0,0,1,0,0,0
1045,Environment Error,-8.890196078431373,0,1,0,1,0,0,1,0,0,0
1046,Environment Error,-8.890196078431373,0,1,0,1,0,0,1,0,0,0
1047,Environment Error,-1.336,0,1,0,1,0,1,0,0,0,0
1048,Environment Error,-1.336,0,1,0,1,0,1,0,0,0,0
